CustomerId,primary_persona,existing_secondary_persona,frequent_charger_count,charger_ids,dominant_primary_mode,primary_mode_diversity,dominant_secondary_mode,secondary_mode_diversity,dominant_category,category_diversity,avg_charger_popularity,total_landmarks,total_sessions,avg_session_duration,avg_energy_consumption,weekend_ratio,peak_hour,loyalty_score,zone_diversity,primary_zone
fjjxKwRmTg,regular,residential,1,['scac0178'],regular,1,residential,1,residential,1.0,149.0,1.0,15,0.5237222222222221,3.8100000000000005,0.2,11.0,0.40000000000000013,1,West
fkWWHdxbfP,regular,residential,1,['scac0047'],regular,1,residential,1,residential,1.0,81.0,1.0,28,6.545724206349206,40.57185714285715,0.39285714285714285,17.0,0.9285714285714283,1,North
fkfKwgmrXk,regular,residential,1,['scac0053'],regular,1,residential,1,residential,1.0,161.0,1.0,6,0.5036574074074073,3.6685000000000003,1.0,18.0,0.6666666666666666,2,West
fkjjaVoWoe,regular,other,1,['wbac0009'],regular,1,other,1,other,1.0,196.0,1.0,3,2.405740740740741,17.024333333333335,0.6666666666666666,8.0,1.0,1,East
fkkwxWHVZk,regular,residential,1,['SCAC0302'],regular,1,residential,1,residential,1.0,17.0,1.0,18,2.7837191358024693,15.842333333333336,0.8888888888888888,11.0,0.7777777777777779,2,North
fkuRyyvDJo,regular,residential,1,['wbac0216'],regular,1,residential,1,residential,1.0,45.0,1.0,5,0.7458333333333333,6.7554,0.4,20.0,1.0,1,North
flDfzSvwPg,regular,residential,1,['scac0054'],regular,1,residential,1,residential,1.0,147.0,1.0,13,0.7458547008547008,15.556153846153846,0.3076923076923077,10.0,0.3076923076923076,3,West
flRAdQYyLT,regular,residential,2,"['SCAC0921', 'delac0174']",regular,1,residential,1,residential,1.0,28.0,2.0,2,6.026805555555555,26.9955,0.0,22.0,0.5,1,West
flZSlyIaiE,regular,residential,1,['wbac0292'],regular,1,residential,1,residential,1.0,24.0,1.0,34,8.913333333333334,36.90597058823529,0.2647058823529412,18.0,1.0,1,West
flmXvWJsaf,regular,residential,1,['scac0168'],regular,1,residential,1,residential,1.0,15.0,1.0,1,4.575277777777778,31.64,0.0,8.0,1.0,1,West
